# COLUMN pl_hostname:    Host Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_name:        Planet Name
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_insol:       Insolation Flux [Earth flux]
# COLUMN pl_bmasse:      Planet Mass or M*sin(i) [Earth mass]
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_disc:        Year of Discovery
# COLUMN pl_pelink:      Link to Exoplanet Encyclopaedia
# COLUMN pl_edelink:     Link to Exoplanet Data Explorer
# COLUMN pl_publ_date:   Publication Date
# COLUMN st_sp:          Spectral Type
# COLUMN st_spstr:       Spectral Type
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
#
id,pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_dens,st_dist,st_optmag,st_teff,st_mass,st_rad,rowupdate,pl_name,pl_eqt,pl_insol,pl_bmasse,pl_rade,pl_disc,pl_pelink,pl_edelink,pl_publ_date,st_sp,st_spstr,st_lum1,11 Com,Radial Velocity,1.0,326.03,1.29,0.231,,110.62,4.74,4742.0,2.7,19.0,2014-05-14,11 Com b,,,6165.6,,2007.0,http://exoplanet.eu/catalog/11_com_b/,http://exoplanets.org/detail/11_Com_b,2008-01,5.0,K0 III,2.243
2,11 UMi,Radial Velocity,1.0,516.22,1.54,0.08,,119.47,5.016,4340.0,1.8,24.08,2014-05-14,11 UMi b,,,3337.07,,2009.0,http://exoplanet.eu/catalog/11_umi_b/,http://exoplanets.org/detail/11_UMi_b,2009-10,5.4,K4 III,
3,14 And,Radial Velocity,1.0,185.84,0.83,0.0,,76.39,,4813.0,2.2,11.0,2014-05-14,14 And b,,,1525.5,,2008.0,http://exoplanet.eu/catalog/14_and_b/,http://exoplanets.org/detail/14_And_b,2008-12,4.8,G8 III,1.763
4,14 Her,Radial Velocity,1.0,1773.4,2.77,0.369,,18.15,6.61,5311.0,0.9,,2014-05-14,14 Her b,,,1474.67,,2002.0,http://exoplanet.eu/catalog/14_her_b/,http://exoplanets.org/detail/14_Her_b,2003-01,5.0,K0 V,
5,16 Cyg B,Radial Velocity,1.0,798.5,1.681,0.681,,21.41,6.25,5674.0,0.99,,2015-09-10,16 Cyg B b,,,533.9544,,1996.0,http://exoplanet.eu/catalog/16_cyg_b_b/,http://exoplanets.org/detail/16_Cyg_B_b,1997-07,4.25,G2.5 V,
6,18 Del,Radial Velocity,1.0,993.3,2.6,0.08,,73.1,,4979.0,2.3,8.5,2014-05-14,18 Del b,,,3273.5,,2008.0,http://exoplanet.eu/catalog/18_del_b/,http://exoplanets.org/detail/18_Del_b,2008-06,4.6,G6 III,1.602
7,1RXS J160929.1-210524,Imaging,1.0,,330.0,,,145.0,,4060.0,0.85,,2015-04-01,1RXS J160929.1-210524 b,1700.0,,3000.0,,2008.0,http://exoplanet.eu/catalog/1rxs1609_b/,,2008-12,5.7,K7 V,-0.370
8,24 Sex,Radial Velocity,2.0,452.8,1.333,0.09,,74.79,6.441,5098.0,1.54,4.9,2014-05-14,24 Sex b,,,632.46,,2010.0,http://exoplanet.eu/catalog/24_sex_b/,http://exoplanets.org/detail/24_Sex_b,2011-01,5.0,K0 IV,1.164
9,24 Sex,Radial Velocity,2.0,883.0,2.08,0.29,,74.79,6.441,5098.0,1.54,4.9,2014-05-14,24 Sex c,,,273.32,,2010.0,http://exoplanet.eu/catalog/24_sex_c/,http://exoplanets.org/detail/24_Sex_c,2011-01,5.0,K0 IV,1.164
10,2MASS J01225093-2439505,Imaging,1.0,,52.0,,,36.0,14.24,3530.0,0.4,,2014-05-14,2MASS J01225093-2439505 b,,,7786.5,,2013.0,http://exoplanet.eu/catalog/2m_0122-24_b/,,2013-08,6.35,M3.5 V,-1.720
11,2MASS J02192210-3925225,Imaging,1.0,,156.0,,,39.4,,3064.0,0.11,0.28,2015-05-14,2MASS J02192210-3925225 b,,,4417.837,16.141,2015.0,http://exoplanet.eu/catalog/2m_0219-39_b/,,2015-06,6.6,M6,-2.230
12,2MASS J04414489+2301513,Imaging,1.0,,15.0,,,140.0,,,0.02,,2014-05-14,2MASS J04414489+2301513 b,,,2383.6,,2010.0,http://exoplanet.eu/catalog/2m_0441%2B23_b/,,2010-05,6.85,M8.5,
13,2MASS J12073346-3932539,Imaging,1.0,,46.0,,,52.4,20.15,,0.02,,2014-05-14,2MASS J12073346-3932539 b,1150.0,,1271.0,,2004.0,http://exoplanet.eu/catalog/2m_1207-39_b/,,2004-10,6.8,M8,
14,2MASS J19383260+4603591,Eclipse Timing Variations,1.0,416.0,0.92,,,,12.264,,0.48,,2015-06-04,2MASS J19383260+4603591 b,,,603.877,,2015.0,http://exoplanet.eu/catalog/2m_1938%2B46_b/,,2015-05,,,
15,2MASS J21402931+1625183 A,Imaging,1.0,7336.5,,0.26,,25.0,,2300.0,0.08,0.12,2014-05-14,2MASS J21402931+1625183 A b,2075.0,,6657.48,10.31,2009.0,http://exoplanet.eu/catalog/2m_2140+16_b/,,2010-03,6.85,M8.5,-3.480
16,2MASS J22362452+4751425,Imaging,1.0,,230.0,,,74.0,12.51,4045.0,0.6,,2016-11-10,2MASS J22362452+4751425 b,,,3972.875,,2016.0,http://exoplanet.eu/catalog/2m_2236%2B4751_b/,,,5.7,K7 V,
17,30 Ari B,Radial Velocity,1.0,335.1,0.995,0.289,,39.43,,6300.0,1.16,1.13,2014-05-14,30 Ari B b,,,3140.03,,2009.0,http://exoplanet.eu/catalog/30_ari_b_b/,http://exoplanets.org/detail/30_Ari_B_b,2009-12,3.6,F6 V,
18,4 UMa,Radial Velocity,1.0,269.3,0.87,0.432,,77.4,4.61,4415.0,1.23,18.11,2014-05-14,4 UMa b,,,2256.5,,2006.0,http://exoplanet.eu/catalog/4_uma_b/,http://exoplanets.org/detail/4_UMa_b,2007-09,5.1,K1 III,
19,42 Dra,Radial Velocity,1.0,479.1,1.19,0.38,,97.28,4.82,4200.0,0.98,22.03,2014-05-14,42 Dra b,,,1233.13,,2008.0,http://exoplanet.eu/catalog/42_dra_b/,http://exoplanets.org/detail/42_Dra_b,2009-06,5.15,K1.5 III,
20,47 UMa,Radial Velocity,3.0,1078.0,2.1,0.032,,14.08,5.05,5892.0,1.03,1.23,2014-05-14,47 UMa b,,,804.08,,1996.0,http://exoplanet.eu/catalog/47_uma_b/,http://exoplanets.org/detail/47_UMa_b,1996-06,4.0,G0 V,
21,47 UMa,Radial Velocity,3.0,2391.0,3.6,0.098,,14.08,5.05,5892.0,1.03,1.23,2014-05-14,47 UMa c,,,171.621,,2001.0,http://exoplanet.eu/catalog/47_uma_c/,http://exoplanets.org/detail/47_UMa_c,2002-01,4.0,G0 V,
22,47 UMa,Radial Velocity,3.0,14002.0,11.6,0.16,,14.08,5.05,5892.0,1.03,1.23,2014-05-14,47 UMa d,,,521.22,,2009.0,http://exoplanet.eu/catalog/47_uma_d/,,2010-04,4.0,G0 V,
23,51 Eri,Imaging,1.0,,13.2,,,29.4,5.23,,1.75,,2015-08-14,51 Eri b,700.0,,635.66,,2015.0,http://exoplanet.eu/catalog/51_eri_b/,,2015-08,3.0,F0 IV,0.850
24,51 Peg,Radial Velocity,1.0,4.230785,0.0527,0.013,,15.36,5.5,5793.0,1.12,1.2,2014-05-14,51 Peg b,,,150.009,,1995.0,http://exoplanet.eu/catalog/51_peg_b/,http://exoplanets.org/detail/51_Peg_b,1995-11,4.25,G2.5 IV,
25,55 Cnc,Radial Velocity,5.0,14.65152,0.115227,0.0034,,12.53,5.96,5196.0,0.91,0.94,2014-10-29,55 Cnc b,,,263.9785,,1996.0,http://exoplanet.eu/catalog/55_cnc_b/,http://exoplanets.org/detail/55_Cnc_b,1997-01,4.8,G8 V,-0.235
26,55 Cnc,Radial Velocity,5.0,44.4175,0.241376,0.02,,12.53,5.96,5196.0,0.91,0.94,2014-10-29,55 Cnc c,,,54.4738,,2004.0,http://exoplanet.eu/catalog/55_cnc_c/,http://exoplanets.org/detail/55_Cnc_c,2004-10,4.8,G8 V,-0.235
27,55 Cnc,Radial Velocity,5.0,4825.0,5.503,0.019,,12.53,5.96,5196.0,0.91,0.94,2014-10-29,55 Cnc d,,,1232.493,,2002.0,http://exoplanet.eu/catalog/55_cnc_d/,http://exoplanets.org/detail/55_Cnc_d,2002-12,4.8,G8 V,-0.235
