# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Feb  4 07:25:21 2017
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_name:        Planet Name
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_insol:       Insolation Flux [Earth flux]
# COLUMN pl_bmasse:      Planet Mass or M*sin(i) [Earth mass]
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_disc:        Year of Discovery
# COLUMN pl_pelink:      Link to Exoplanet Encyclopaedia
# COLUMN pl_edelink:     Link to Exoplanet Data Explorer
# COLUMN pl_publ_date:   Publication Date
# COLUMN st_sp:          Spectral Type
# COLUMN st_spstr:       Spectral Type
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
#
rowid,pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_dens,st_dist,st_optmag,st_teff,st_mass,st_rad,rowupdate,pl_name,pl_eqt,pl_insol,pl_bmasse,pl_rade,pl_disc,pl_pelink,pl_edelink,pl_publ_date,st_sp,st_spstr,st_lum
1,11 Com,Radial Velocity,1,326.03000000,1.290000,0.231000,,110.62,4.740,4742.00,2.70,19.00,2014-05-14,11 Com b,,,6165.60000,,2007,http://exoplanet.eu/catalog/11_com_b/,http://exoplanets.org/detail/11_Com_b,2008-01,5.00,K0 III,2.243
2,11 UMi,Radial Velocity,1,516.22000000,1.540000,0.080000,,119.47,5.016,4340.00,1.80,24.08,2014-05-14,11 UMi b,,,3337.07000,,2009,http://exoplanet.eu/catalog/11_umi_b/,http://exoplanets.org/detail/11_UMi_b,2009-10,5.40,K4 III,
3,14 And,Radial Velocity,1,185.84000000,0.830000,0.000000,,76.39,,4813.00,2.20,11.00,2014-05-14,14 And b,,,1525.50000,,2008,http://exoplanet.eu/catalog/14_and_b/,http://exoplanets.org/detail/14_And_b,2008-12,4.80,G8 III,1.763
4,14 Her,Radial Velocity,1,1773.40000000,2.770000,0.369000,,18.15,6.610,5311.00,0.90,,2014-05-14,14 Her b,,,1474.67000,,2002,http://exoplanet.eu/catalog/14_her_b/,http://exoplanets.org/detail/14_Her_b,2003-01,5.00,K0 V,
5,16 Cyg B,Radial Velocity,1,798.50000000,1.681000,0.681000,,21.41,6.250,5674.00,0.99,,2015-09-10,16 Cyg B b,,,533.95440,,1996,http://exoplanet.eu/catalog/16_cyg_b_b/,http://exoplanets.org/detail/16_Cyg_B_b,1997-07,4.25,G2.5 V,
6,18 Del,Radial Velocity,1,993.30000000,2.600000,0.080000,,73.10,,4979.00,2.30,8.50,2014-05-14,18 Del b,,,3273.50000,,2008,http://exoplanet.eu/catalog/18_del_b/,http://exoplanets.org/detail/18_Del_b,2008-06,4.60,G6 III,1.602
7,1RXS J160929.1-210524,Imaging,1,,330.000000,,,145.00,,4060.00,0.85,,2015-04-01,1RXS J160929.1-210524 b,1700,,3000.00000,,2008,http://exoplanet.eu/catalog/1rxs1609_b/,,2008-12,5.70,K7 V,-0.370
8,24 Sex,Radial Velocity,2,452.80000000,1.333000,0.090000,,74.79,6.441,5098.00,1.54,4.90,2014-05-14,24 Sex b,,,632.46000,,2010,http://exoplanet.eu/catalog/24_sex_b/,http://exoplanets.org/detail/24_Sex_b,2011-01,5.00,K0 IV,1.164
9,24 Sex,Radial Velocity,2,883.00000000,2.080000,0.290000,,74.79,6.441,5098.00,1.54,4.90,2014-05-14,24 Sex c,,,273.32000,,2010,http://exoplanet.eu/catalog/24_sex_c/,http://exoplanets.org/detail/24_Sex_c,2011-01,5.00,K0 IV,1.164
10,2MASS J01225093-2439505,Imaging,1,,52.000000,,,36.00,14.240,3530.00,0.40,,2014-05-14,2MASS J01225093-2439505 b,,,7786.50000,,2013,http://exoplanet.eu/catalog/2m_0122-24_b/,,2013-08,6.35,M3.5 V,-1.720
